# Time_stamp_start,Duration,Year,month,day,hour,min,second,num_of_detec_st,FG3S,FG8S,FG10S,FG11S,FG12S,FG13S,FG14S,FG16S
1545239535,1708,2018,12,19,17,12,15,2,1,0,0,0,1,0,0,0
1545246785,4938,2018,12,19,19,13,5,3,1,0,0,0,1,0,0,0
1545252443,652,2018,12,19,20,47,23,2,1,0,0,0,1,0,0,0
1545258583,3410,2018,12,19,22,29,43,2,1,0,0,0,1,0,0,0
1545263205,8262,2018,12,19,23,46,45,2,1,0,0,0,1,0,0,0
1545284727,1046,2018,12,20,5,45,27,2,1,0,0,0,1,0,0,0
1545299647,736,2018,12,20,9,54,7,2,1,0,0,0,1,0,0,0
1545303933,674,2018,12,20,11,5,33,2,1,0,0,0,1,0,0,0
1545307897,946,2018,12,20,12,11,37,2,1,0,0,0,1,0,0,0
1545329933,1850,2018,12,20,18,18,53,2,1,0,0,0,1,0,0,0
1545524247,776,2018,12,23,0,17,27,2,1,0,0,0,1,0,0,0
1545528447,1786,2018,12,23,1,27,27,5,1,0,1,0,1,1,0,0
1545531097,706,2018,12,23,2,11,37,3,1,0,1,0,1,0,0,0
1545532107,790,2018,12,23,2,28,27,2,1,0,0,0,1,0,0,0
1545533207,700,2018,12,23,2,46,47,2,1,0,0,0,1,0,0,0
1545535137,4755,2018,12,23,3,18,57,4,1,0,1,0,1,1,0,0
1545585767,3126,2018,12,23,17,22,47,3,1,0,0,0,1,0,0,0
1545589737,2916,2018,12,23,18,28,57,4,1,0,1,0,1,0,0,0
1545592957,735,2018,12,23,19,22,37,3,1,0,1,0,1,0,0,0
1545599322,1901,2018,12,23,21,8,42,4,1,0,1,0,1,1,0,0
1545601567,4740,2018,12,23,21,46,7,3,1,0,0,0,1,0,0,0
1545613763,630,2018,12,24,1,9,23,2,1,0,0,0,1,0,0,0
1545616763,1183,2018,12,24,1,59,23,3,1,1,0,0,1,0,0,0
1545623686,1670,2018,12,24,3,54,46,2,1,0,0,0,1,0,0,0
1545659683,970,2018,12,24,13,54,43,2,1,0,0,0,1,0,0,0
1545663896,1450,2018,12,24,15,4,56,3,1,1,0,0,1,0,0,0
1545667436,8217,2018,12,24,16,3,56,5,1,1,1,0,1,1,0,0
1545693634,1446,2018,12,24,23,20,34,5,1,1,1,0,1,1,0,0
1545703246,2440,2018,12,25,2,0,46,5,1,1,0,0,1,1,0,0
1545708103,2837,2018,12,25,3,21,43,5,1,1,1,0,1,1,0,0
1545723183,5247,2018,12,25,7,33,3,5,1,1,1,0,1,1,0,0
1545730634,3596,2018,12,25,9,37,14,6,1,1,1,0,1,1,0,0
1545734623,2207,2018,12,25,10,43,43,3,1,1,0,0,1,0,0,0
1545739336,1280,2018,12,25,12,2,16,2,1,0,0,0,1,0,0,0
1545741380,2756,2018,12,25,12,36,20,3,1,1,0,0,1,0,0,0
1545748026,7614,2018,12,25,14,27,6,5,1,1,1,0,1,1,0,0
1545760476,2697,2018,12,25,17,54,36,5,1,1,1,0,1,1,0,0
1545768736,890,2018,12,25,20,12,16,2,1,0,0,0,1,0,0,0
1545770220,643,2018,12,25,20,37,0,2,1,1,0,0,0,0,0,0
1545774553,1117,2018,12,25,21,49,13,2,1,1,0,0,0,0,0,0
1545776646,700,2018,12,25,22,24,6,2,1,0,0,0,1,0,0,0
1545789273,2970,2018,12,26,1,54,33,2,1,0,0,0,1,0,0,0
1545792596,4377,2018,12,26,2,49,56,3,1,1,0,0,1,0,0,0
1545806296,6927,2018,12,26,6,38,16,3,1,1,0,0,1,0,0,0
1545831086,2280,2018,12,26,13,31,26,2,1,0,0,0,1,0,0,0
1545834053,1190,2018,12,26,14,20,53,2,1,0,0,0,1,0,0,0
1545843673,9953,2018,12,26,17,1,13,4,1,1,1,0,1,0,0,0
1545854203,6397,2018,12,26,19,56,43,3,1,1,0,0,1,0,0,0
1545863386,2540,2018,12,26,22,29,46,4,1,1,0,0,1,0,0,0
1545875783,6020,2018,12,27,1,56,23,3,1,1,0,0,1,0,0,0
1545884453,1770,2018,12,27,4,20,53,3,1,1,0,0,1,0,0,0
1545888153,3560,2018,12,27,5,22,33,3,1,1,0,0,1,0,0,0
1545893796,2707,2018,12,27,6,56,36,4,1,1,0,0,1,1,0,0
1545898366,860,2018,12,27,8,12,46,2,1,0,0,0,1,0,0,0
1545908316,1147,2018,12,27,10,58,36,3,1,1,0,0,1,0,0,0
1545911183,3290,2018,12,27,11,46,23,3,1,1,0,0,1,0,0,0
1545917513,2920,2018,12,27,13,31,53,2,1,0,0,0,1,0,0,0
1545921033,2200,2018,12,27,14,30,33,4,1,1,0,0,1,0,0,0
1545926313,1230,2018,12,27,15,58,33,2,1,0,0,0,1,0,0,0
1545929006,1047,2018,12,27,16,43,26,2,1,0,0,0,1,0,0,0
1545931183,1560,2018,12,27,17,19,43,3,1,1,0,0,1,0,0,0
1545941735,4698,2018,12,27,20,15,35,4,1,1,0,0,1,1,0,0
1545947946,4800,2018,12,27,21,59,6,3,1,1,0,0,1,0,0,0
1545961186,857,2018,12,28,1,39,46,3,1,1,0,0,1,0,0,0
1545965376,1090,2018,12,28,2,49,36,2,1,0,0,0,1,0,0,0
1545967693,4560,2018,12,28,3,28,13,2,1,0,0,0,1,0,0,0
1545978023,1610,2018,12,28,6,20,23,2,1,0,0,0,1,0,0,0
1545981973,4743,2018,12,28,7,26,13,5,1,1,0,0,1,0,0,0
